Site,Latitude,Longitude,RowcropPrp,CRPPrp,Native,RowcropTE,CRPTE,SHDI,StreamsDist,StreamDensity,LoamyTablePct2k,DaysActive3yr,LagObs,Richness3yr
333,37.0095,-99.699383,0.187204131,0,0.738990102,37260,0,1.159596769,543.717297,51.62386,0,56,3,4
334,37.261916,-101.244361,0.565317091,0.099247582,0.016624866,76560,10140,1.611230418,11268.33906,0,0,82,0,1
335,37.084564,-100.285122,0.000286738,0,0.942150538,420,0,1.226840783,154.949796,102.1434,0,65,0,2
336,38.2353727,-100.7569744,0.511399484,0.071766562,0.133710926,44280,6660,1.57063791,3739.885387,12.81166,0.89101,69,10,4
337,39.396482,-99.63999,0.222572781,0.242219991,0.218772408,49080,34980,2.043017448,104.061153,96.25801,0,80,8,4
338,38.37881583,-101.5854091,0.424468161,0.054437361,0.00716281,65490,5400,1.381760875,1378.029017,4.28021,0.838804,67,0,2
340,39.71783,-101.162552,0.165579528,0,0.693642033,39840,0,1.647580166,141.529715,86.30341,0.099558,64,5,3
341,38.263619,-99.830991,0.471815835,0.025387263,0.397088338,52770,11280,1.668314223,12.293505,134.3145,0,81,1,3
342,38.983031,-100.055892,0.497705435,0.039509537,0.211888714,72780,9540,1.769503361,9.783809,110.954,0,75,0,5
343,39.236223,-101.224881,0.645743766,0.003009458,0.222771568,68400,2280,1.431358615,383.535743,72.12662,0.693919,54,10,6
344,37.504779,-101.54265,0.319796591,0.368213723,0.038461539,40920,30000,1.669279975,2.345914,24.10291,0.763316,41,4,2
345,37.071578,-100.832655,0.410592704,0.159463915,0.006306888,82530,16260,1.819524805,5620.310044,13.10683,0,75,21,4
346,39.985602,-101.374285,0.152931059,0,0.74946252,19380,0,1.479482474,117.383754,71.96952,0.268781,83,7,4
347,37.65874344,-101.7147181,0.384268214,0.230962103,0.06368651,42420,16500,1.836637595,598.236522,18.07363,0.661642,70,9,3
348,38.213534,-99.666766,0.459800617,0.027612422,0.275550456,61560,8220,1.767666811,413.618747,138.8107,0,83,6,4
349,38.85203136,-101.5972663,0.107424394,0.009387989,0.808370359,11850,2910,1.461931405,259.99497,70.60248,0.257658,82,3,3
350,37.670694,-100.540807,0.635248547,0.07373933,0.100997059,81840,14100,1.535581345,1121.045291,4.521057,0.08163,82,0,2
351,39.786064,-101.578873,0.667574541,0.056694381,0.078196674,48930,6600,1.408417484,8.824,18.13997,0.795866,82,3,2
352,39.665946,-99.759298,0.344644523,0.037592367,0.347585909,68100,12840,1.918322523,295.155712,117.8143,0,80,0,4
353,38.55364071,-101.1592812,0.713415071,0.000717,0.034846204,53910,420,1.188125366,2384.40303,21.78309,0.974988,74,5,4
354,39.176654,-100.678351,0.42344086,0,0.343512545,63480,0,1.726634638,407.444917,74.38709,0.614376,58,0,3
355,37.262669,-100.230504,0.434021801,0.3982358,0.058663224,48120,17880,1.53581121,477.134503,97.29026,0,80,0,4
356,39.775743,-101.95603,0.128787336,0.109805888,0.516152138,21960,21840,1.85809238,663.889948,72.13605,0.354259,81,5,2
357,38.52057556,-101.7153353,0.409995704,0.063439782,0.360375196,64320,6960,1.764809148,360.620503,38.56834,0.731311,60,16,4
358,39.510188,-101.086332,0.861831733,0.01755769,0.004228178,54870,7560,0.980956362,431.863892,58.77961,0.938189,67,8,3
359,37.932893,-100.257657,0.384709173,0.387004232,0.00745894,23340,15930,1.508719175,375.311104,72.53629,0.133938,81,8,4
360,38.930383,-100.971607,0.321722927,0.14075826,0.380204974,26100,16200,1.80711011,40.461065,67.51305,0.710839,80,0,4
361,38.887761,-100.981888,0.125609406,0,0.775021508,12240,0,1.544227,688.758439,79.08942,0.566688,82,0,1
362,38.88783,-100.909092,0.400258046,0.176403125,0.213748139,36810,27930,1.793574738,1009.064892,82.64684,0.645196,76,2,4
363,38.901893,-101.018456,0.370306678,0.117727142,0.399254801,35190,13260,1.802445872,159.887542,83.26706,0.681422,75,34,4
364,38.861591,-101.019568,0.002437975,0.160189302,0.713251111,2880,12240,1.651524211,522.942,78.4365,0.060425,78,6,3
365,38.807934,-100.965136,0.056976994,0.261592489,0.527413459,9600,18000,1.815697234,242.134627,77.56441,0.258163,78,0,0
366,38.56605,-101.032936,0.241942415,0.005228477,0.43439333,54300,1620,1.841051016,469.853643,26.78921,0.640919,82,11,4
367,38.597478,-101.04529,0.586594982,0.00344086,0.08,68220,960,1.433562651,374.419996,26.01901,0.896359,76,33,4
368,38.582874,-101.018202,0.300982008,0,0.375671995,59250,0,1.784685163,758.174503,32.69424,0.797387,74,12,4
369,38.895921,-101.209172,0.105364945,0.018623308,0.736050426,16560,3300,1.674312103,652.978489,80.58204,0.09579,53,3,3
370,38.903562,-101.257895,0.060690742,0.055388363,0.749713385,20040,5580,1.690664564,200.095578,72.13142,0.117262,74,0,2
371,38.799011,-100.854963,0.145663082,0.001146953,0.692688172,9120,660,1.623986619,127.410563,92.23814,0.226281,79,11,5
372,38.822467,-100.81813,0.032960734,0.185726569,0.530166236,5520,12330,1.883565115,489.43726,91.14384,0.393278,54,14,3
373,38.79025,-100.822422,0.103957557,0,0.833596214,6540,0,1.388425155,290.777172,89.93366,0.091327,71,15,3
374,38.772868,-100.861881,0.003369417,0.01304753,0.853752957,3480,2700,1.421977624,198.285754,85.03072,0.098341,81,2,4
375,38.758198,-100.819594,0.305569493,0.017489786,0.487061859,38220,2520,1.790720177,203.611944,88.80147,0.393611,77,0,4
376,38.743298,-100.855385,0.087990828,0.048366294,0.718830611,15240,6900,1.682917239,441.582758,79.40469,0.135067,81,10,4
377,38.729206,-100.810751,0.398165401,0.119535617,0.368854809,40260,13980,1.758574634,656.544866,84.75652,0.336601,71,0,2
378,38.729988,-100.868592,0.002292099,0.025571234,0.829095337,1860,4260,1.39647406,53.254566,76.05428,0.108006,69,0,3
379,38.683374,-101.567251,0.571745827,0.009814457,0.317716169,42570,1800,1.517648467,377.096462,33.16821,0.617031,66,10,5
380,38.699369,-101.632767,0.46525788,0.006232092,0.320343839,88230,3180,1.646310164,530.409393,35.28385,0.603436,81,4,3
381,38.723534,-101.66981,0.542179891,0.035233457,0.358063592,48120,12120,1.557416968,507.067839,33.04841,0.535988,72,34,2
382,38.72786,-101.683835,0.387189224,0.001647919,0.486494232,33150,1140,1.660847125,192.839039,34.82418,0.51287,79,16,5
